interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11051.00;DEFAULT_EDGEDATA;0;50.37;0;14274;1;0;0;10.07;14274;5.04;2.57;33857.20;25.65;0.88;3647.14;2.37;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.12;15;609;10;0;0;1.06;624;0.53;1.27;672.58;26.66;0.92;48.27;1.08;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;9.83;0;2928;100;0;0;4.92;2928;2.46;1.13;2763.24;26.95;0.93;184.96;0.94;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;22.02;0;6285;1000;0;0;11.01;6285;5.50;0.73;3362.41;25.83;0.89;348.54;0.53;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.58;0;183;1001;0;0;0.58;183;0.29;1.49;239.90;28.72;0.99;1.44;1.31;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;9.63;57;2268;1002;0;0;4.81;2325;2.41;1.10;2018.47;21.85;0.75;483.63;0.87;0.00
0.00;11051.00;DEFAULT_EDGEDATA;96;2.73;0;849;1003;0;0;2.73;753;1.36;0.82;547.78;28.15;0.97;11.92;0.65;0.00
0.00;11051.00;DEFAULT_EDGEDATA;6;27.18;0;7674;1004;0;0;13.59;7668;6.80;1.73;11739.19;25.55;0.88;1329.56;1.53;0.00
0.00;11051.00;DEFAULT_EDGEDATA;255;18.23;0;5280;1005;0;0;6.08;5025;3.04;3.99;20057.39;26.21;0.90;1735.41;3.80;0.00
0.00;11051.00;DEFAULT_EDGEDATA;9;11.29;0;3420;1006;0;0;3.76;3411;1.88;0.64;1574.70;27.41;0.94;72.87;0.46;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;6.38;0;1953;1007;0;0;6.38;1953;3.19;1.07;1728.34;27.68;0.95;67.80;0.88;0.00
0.00;11051.00;DEFAULT_EDGEDATA;144;2.57;0;804;1008;0;0;2.57;660;1.29;0.41;185.83;28.30;0.97;2.52;0.23;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;16.71;258;2847;1009;0;0;4.18;3105;2.09;0.89;1846.51;16.82;0.84;286.71;0.59;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.18;369;0;101;0;0;1.18;369;0.59;1.05;323.80;28.36;0.98;5.76;0.88;0.00
0.00;11051.00;DEFAULT_EDGEDATA;90;18.24;27;5478;1010;0;0;4.56;5415;2.28;2.13;10739.05;27.32;0.94;540.28;1.95;0.00
