interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;7200.00;DEFAULT_EDGEDATA;0;22.98;0;4742;1;0;0;4.60;4742;2.30;2.30;10064.61;28.66;0.99;46.58;2.12;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.25;0;51;10;0;0;0.13;51;0.06;1.19;51.77;28.31;0.97;1.19;1.02;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;5.74;0;1173;100;0;0;2.87;1173;1.43;1.07;1050.44;28.40;0.98;13.22;0.90;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;11.16;0;2222;1000;0;0;5.58;2222;2.79;0.68;1110.64;27.65;0.95;45.79;0.50;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.85;0;173;1001;0;0;0.85;173;0.42;1.50;229.66;28.36;0.98;1.63;1.33;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;19.26;0;910;1002;0;0;9.63;910;4.81;3.65;2629.96;6.56;0.23;2024.60;2.89;838.41
0.00;7200.00;DEFAULT_EDGEDATA;160;2.41;0;490;1003;0;0;2.41;330;1.21;0.82;315.68;28.19;0.97;4.20;0.64;0.00
0.00;7200.00;DEFAULT_EDGEDATA;27;15.27;0;2989;1004;0;0;7.64;2962;3.82;1.62;4296.78;27.19;0.94;241.33;1.44;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;22.72;0;4480;1005;0;0;7.57;4480;3.79;3.82;16287.99;27.39;0.94;768.36;3.64;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;6.36;0;1302;1006;0;0;2.12;1302;1.06;0.62;577.97;28.43;0.98;5.63;0.44;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;3.10;0;626;1007;0;0;3.10;626;1.55;1.05;546.64;28.06;0.97;16.17;0.87;0.00
0.00;7200.00;DEFAULT_EDGEDATA;20;1.72;0;353;1008;0;0;1.72;333;0.86;0.41;81.03;28.49;0.98;0.86;0.23;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;21.32;95;1056;1009;0;0;5.33;1151;2.66;2.00;1534.90;7.50;0.37;956.61;1.33;574.47
0.00;7200.00;DEFAULT_EDGEDATA;0;4.62;874;0;101;0;0;4.62;874;2.31;1.14;828.59;26.25;0.90;71.71;0.95;0.00
0.00;7200.00;DEFAULT_EDGEDATA;18;160.06;0;2018;1010;0;0;40.01;2000;20.01;33.29;61412.08;1.75;0.06;57681.13;30.43;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.14;0;28;1011;0;0;0.07;28;0.03;2.67;69.83;28.02;0.96;0.00;2.49;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;8.54;88;1463;1013;0;0;8.54;1551;4.27;1.42;1887.41;25.23;0.87;241.97;1.22;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;5.17;0;994;1014;0;0;5.17;994;2.59;1.06;863.70;26.69;0.92;61.20;0.87;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;1.72;0;353;1015;0;0;1.72;353;0.86;2.31;752.76;28.52;0.98;5.85;2.13;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;33.27;0;612;1016;0;0;33.27;612;16.63;16.27;8759.17;2.56;0.09;7982.20;14.31;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;22.95;0;4742;1017;0;0;4.59;4742;2.30;1.85;7929.61;28.69;0.99;27.93;1.67;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;3.78;0;775;1018;0;0;1.89;775;0.95;0.42;188.21;28.45;0.98;1.10;0.24;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.50;102;0;102;0;0;0.50;102;0.25;0.63;45.77;28.35;0.98;0.91;0.45;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.23;0;47;1020;0;0;0.11;47;0.06;1.27;51.73;28.73;0.99;0.00;1.10;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;8.00;0;1643;1021;0;0;4.00;1643;2.00;5.16;8189.28;28.52;0.98;92.70;4.98;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;3.57;0;739;1022;0;0;1.19;739;0.59;8.10;5854.77;28.78;0.99;8.03;7.92;0.00
0.00;7200.00;DEFAULT_EDGEDATA;45;27.13;0;5604;1023;0;0;4.52;5559;2.26;1.69;8499.81;28.69;0.99;22.47;1.52;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.18;0;37;1024;0;0;0.18;37;0.09;1.08;33.25;27.93;0.96;0.00;0.90;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;1.73;0;204;1025;0;0;1.73;204;0.86;2.20;386.98;16.39;0.56;167.52;1.90;0.00
0.00;7200.00;DEFAULT_EDGEDATA;31;79.00;0;2264;1026;0;0;26.33;2233;13.17;6.74;12417.46;3.98;0.14;10698.26;5.48;2563.56
0.00;7200.00;DEFAULT_EDGEDATA;0;22.76;0;4685;1027;0;0;4.55;4685;2.28;2.59;11311.28;28.58;0.98;83.87;2.41;0.00
0.00;7200.00;DEFAULT_EDGEDATA;26;70.20;0;2282;1028;0;0;23.40;2256;11.70;5.99;11144.87;4.51;0.16;9394.37;4.88;1497.21
0.00;7200.00;DEFAULT_EDGEDATA;0;213.38;0;3990;103;0;0;53.35;3990;26.67;31.56;118252.79;2.60;0.09;107579.05;29.64;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.46;0;94;1030;0;0;0.23;94;0.12;0.35;16.36;28.26;0.97;0.02;0.17;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;30.74;9;2405;1031;0;0;15.37;2414;7.68;3.74;7927.41;10.91;0.38;4924.64;3.28;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;2.79;31;545;1032;0;0;0.93;576;0.47;1.11;538.73;28.65;0.99;4.10;0.94;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;24.19;1;5001;1033;0;0;4.03;5002;2.02;2.58;12025.77;28.72;0.99;28.00;2.40;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;3.92;0;813;1034;0;0;1.96;813;0.98;0.60;348.01;28.80;0.99;0.43;0.43;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;20.59;250;1317;1035;0;0;10.29;1567;5.15;1.56;1707.48;10.57;0.36;1078.61;1.09;403.19
0.00;7200.00;DEFAULT_EDGEDATA;0;48.48;0;803;1036;0;0;16.16;803;8.08;11.73;7671.52;2.30;0.08;7056.96;9.55;4157.03
0.00;7200.00;DEFAULT_EDGEDATA;64;400.45;0;4010;1037;0;0;100.11;3946;50.06;20.33;67122.34;1.39;0.05;63878.14;16.74;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;11.76;19;2304;1038;0;0;5.88;2323;2.94;3.01;6577.68;27.44;0.94;280.48;2.83;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.24;10;41;1039;0;0;0.12;51;0.06;1.71;78.16;28.98;1.00;0.01;1.53;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;8.42;58;942;104;0;0;2.81;1000;1.40;1.85;1550.45;16.49;0.57;663.62;1.55;0.00
0.00;7200.00;DEFAULT_EDGEDATA;58;2.43;0;499;1040;0;0;0.81;441;0.41;1.37;595.16;28.51;0.98;1.76;1.19;0.00
0.00;7200.00;DEFAULT_EDGEDATA;5;2.15;0;441;1041;0;0;0.72;436;0.36;1.30;497.36;28.55;0.98;1.92;1.13;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;13.78;0;2732;1042;0;0;6.89;2732;3.45;2.04;5070.80;27.53;0.95;228.39;1.86;0.00
0.00;7200.00;DEFAULT_EDGEDATA;9;1.13;0;230;1043;0;0;1.13;221;0.56;2.94;634.68;28.35;0.98;4.44;2.76;0.00
0.00;7200.00;DEFAULT_EDGEDATA;9;63.49;0;1474;1044;0;0;31.74;1465;15.87;6.24;6911.25;3.22;0.11;6136.45;4.69;2897.60
0.00;7200.00;DEFAULT_EDGEDATA;0;1.22;0;102;1045;0;0;1.22;102;0.61;1.53;112.04;11.57;0.40;66.90;1.10;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;24.14;12;4987;1046;0;0;4.02;4999;2.01;2.03;9262.44;28.77;0.99;8.71;1.85;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;181.55;0;3889;1047;0;0;45.39;3889;22.69;28.83;105595.10;2.98;0.10;94666.66;27.15;0.00
0.00;7200.00;DEFAULT_EDGEDATA;147;2.28;0;469;1048;0;0;2.28;322;1.14;0.65;221.21;28.54;0.98;1.40;0.47;0.00
