Detector;Time;qPKW;vPKW
det1046_0;60.0;833.0;29.30750398538646
det1046_1;60.0;833.0;29.30750398538646
det1046_2;60.0;833.0;29.30750398538646
det1046_3;60.0;833.0;29.30750398538646
det1046_4;60.0;833.0;29.30750398538646
det1046_5;60.0;833.0;29.30750398538646
det1084_0;60.0;743.0;29.597896249343535
det1084_1;60.0;743.0;29.597896249343535
det1084_2;60.0;743.0;29.597896249343535
det1088_0;60.0;222.0;29.019433940860832
det1088_1;60.0;222.0;29.019433940860832
det1133_0;60.0;1220.0;27.941827152871326
det1133_1;60.0;1220.0;27.941827152871326
det1133_2;60.0;1220.0;27.941827152871326
det1133_3;60.0;1220.0;27.941827152871326
det1175_0;60.0;830.0;29.139148180385885
det1175_1;60.0;830.0;29.139148180385885
det1175_2;60.0;830.0;29.139148180385885
det1199_0;60.0;1123.0;27.74307579221372
det1199_1;60.0;1123.0;27.74307579221372
det1199_2;60.0;1123.0;27.74307579221372
det1199_3;60.0;1123.0;27.74307579221372
det132_0;60.0;881.0;27.883021411576664
det132_1;60.0;881.0;27.883021411576664
det132_2;60.0;881.0;27.883021411576664
det132_3;60.0;881.0;27.883021411576664
det167_0;60.0;823.0;28.61101168443886
det167_1;60.0;823.0;28.61101168443886
det167_2;60.0;823.0;28.61101168443886
det167_3;60.0;823.0;28.61101168443886
det167_4;60.0;823.0;28.61101168443886
det167_5;60.0;823.0;28.61101168443886
det168_0;60.0;911.0;28.18133474049549
det168_1;60.0;911.0;28.18133474049549
det168_2;60.0;911.0;28.18133474049549
det168_3;60.0;911.0;28.18133474049549
det168_4;60.0;911.0;28.18133474049549
det168_5;60.0;911.0;28.18133474049549
det214_0;60.0;982.0;24.317113333333335
det214_1;60.0;982.0;24.317113333333335
det214_2;60.0;982.0;24.317113333333335
det214_3;60.0;982.0;24.317113333333335
det224_0;60.0;787.0;29.159905249457694
det224_1;60.0;787.0;29.159905249457694
det224_2;60.0;787.0;29.159905249457694
det236_0;60.0;936.0;27.72192828405069
det236_1;60.0;936.0;27.72192828405069
det236_2;60.0;936.0;27.72192828405069
det236_3;60.0;936.0;27.72192828405069
det236_4;60.0;936.0;27.72192828405069
det236_5;60.0;936.0;27.72192828405069
det283_0;60.0;970.0;27.793000958100237
det283_1;60.0;970.0;27.793000958100237
det283_2;60.0;970.0;27.793000958100237
det317_0;60.0;854.0;28.412987612284507
det317_1;60.0;854.0;28.412987612284507
det317_2;60.0;854.0;28.412987612284507
det317_3;60.0;854.0;28.412987612284507
det317_4;60.0;854.0;28.412987612284507
det317_5;60.0;854.0;28.412987612284507
det369_0;60.0;1096.0;25.690014352323324
det369_1;60.0;1096.0;25.690014352323324
det369_2;60.0;1096.0;25.690014352323324
det369_3;60.0;1096.0;25.690014352323324
det414_0;60.0;791.0;28.67568421965978
det414_1;60.0;791.0;28.67568421965978
det414_2;60.0;791.0;28.67568421965978
det414_3;60.0;791.0;28.67568421965978
det463_0;60.0;660.0;26.969547051489897
det463_1;60.0;660.0;26.969547051489897
det463_2;60.0;660.0;26.969547051489897
det473_0;60.0;948.0;21.418192184495943
det473_1;60.0;948.0;21.418192184495943
det473_2;60.0;948.0;21.418192184495943
det473_3;60.0;948.0;21.418192184495943
det473_4;60.0;948.0;21.418192184495943
det503_0;60.0;1017.0;25.347877425276856
det503_1;60.0;1017.0;25.347877425276856
det503_2;60.0;1017.0;25.347877425276856
det503_3;60.0;1017.0;25.347877425276856
det525_0;60.0;884.0;29.513283249686033
det525_1;60.0;884.0;29.513283249686033
det525_2;60.0;884.0;29.513283249686033
det542_0;60.0;838.0;28.73960139559311
det542_1;60.0;838.0;28.73960139559311
det542_2;60.0;838.0;28.73960139559311
det542_3;60.0;838.0;28.73960139559311
det542_4;60.0;838.0;28.73960139559311
det542_5;60.0;838.0;28.73960139559311
det629_0;60.0;983.0;26.239859772120106
det629_1;60.0;983.0;26.239859772120106
det629_2;60.0;983.0;26.239859772120106
det629_3;60.0;983.0;26.239859772120106
det629_4;60.0;983.0;26.239859772120106
det638_0;60.0;975.0;21.9767658
det638_1;60.0;975.0;21.9767658
det638_2;60.0;975.0;21.9767658
det638_3;60.0;975.0;21.9767658
det698_0;60.0;886.0;27.44294296609202
det698_1;60.0;886.0;27.44294296609202
det698_2;60.0;886.0;27.44294296609202
det698_3;60.0;886.0;27.44294296609202
det766_0;60.0;747.0;30.00822476721087
det766_1;60.0;747.0;30.00822476721087
det766_2;60.0;747.0;30.00822476721087
det809_0;60.0;954.0;25.765555384861283
det809_1;60.0;954.0;25.765555384861283
det809_2;60.0;954.0;25.765555384861283
det809_3;60.0;954.0;25.765555384861283
det809_4;60.0;954.0;25.765555384861283
det82_0;60.0;999.0;25.418745200000004
det82_1;60.0;999.0;25.418745200000004
det82_2;60.0;999.0;25.418745200000004
det82_3;60.0;999.0;25.418745200000004
det911_0;60.0;974.0;23.035012827956987
det911_1;60.0;974.0;23.035012827956987
det911_2;60.0;974.0;23.035012827956987
det911_3;60.0;974.0;23.035012827956987
det926_0;60.0;1006.0;20.48484370909921
det926_1;60.0;1006.0;20.48484370909921
det926_2;60.0;1006.0;20.48484370909921
det926_3;60.0;1006.0;20.48484370909921
det955_0;60.0;939.0;25.299064883205848
det955_1;60.0;939.0;25.299064883205848
det955_2;60.0;939.0;25.299064883205848
det955_3;60.0;939.0;25.299064883205848
